preco,condominio,tamanho_m2,quartos,banheiros,vagas,bairro
410000,700,67.0,2.0,2.0,1.0,recreio dos bandeirantes
700000,805,98.0,3.0,2.0,1.0,andaraí
135900000,0,181.0,3.0,4.0,1.0,recreio dos bandeirantes
950000,1240,129.0,4.0,3.0,2.0,freguesia
160000,500,55.0,2.0,1.0,1.0,abolição
870000,1400,166.0,3.0,3.0,2.0,recreio dos bandeirantes
1250000,1100,77.0,2.0,2.0,1.0,leme
3950000,0,300.0,5.0,5.0,3.0,urca
1350000,1550,95.0,3.0,3.0,1.0,humaitá
210000,720,62.0,2.0,1.0,1.0,pechincha
830000,1450,150.0,4.0,3.0,1.0,tijuca
700000,1361,90.0,3.0,2.0,1.0,jacarepaguá
2250000,1840,180.0,4.0,4.0,1.0,gávea
521000,958,65.0,2.0,1.0,1.0,maracanã
160000,370,45.0,2.0,1.0,1.0,campo grande
550000,710,91.0,3.0,3.0,1.0,recreio dos bandeirantes
1500000,0,138.0,3.0,3.0,1.0,flamengo
1590000,2000,110.0,3.0,3.0,2.0,humaitá
2600000,1945,170.0,3.0,4.0,2.0,humaitá
389900,570,71.0,3.0,2.0,1.0,taquara
520000,700,64.0,2.0,2.0,1.0,recreio dos bandeirantes
1000000,1100,80.0,3.0,3.0,1.0,copacabana
579900,940,85.0,3.0,3.0,2.0,tijuca
2700000,3266,340.0,4.0,4.0,2.0,copacabana
1650000,2500,120.0,3.0,2.0,1.0,copacabana
195000,700,59.0,2.0,1.0,1.0,praça seca
1650000,2000,146.0,4.0,4.0,2.0,tijuca
1250000,1980,168.0,3.0,4.0,1.0,copacabana
420000,770,75.0,2.0,2.0,1.0,vila isabel
790000,1200,130.0,4.0,3.0,2.0,freguesia
670000,890,89.0,2.0,2.0,1.0,méier
759000,1334,98.0,3.0,3.0,2.0,recreio dos bandeirantes
2980000,0,757.0,1.0,6.0,2.0,barra da tijuca
895000,1025,90.0,3.0,2.0,2.0,tijuca
450000,800,81.0,3.0,2.0,1.0,freguesia
740000,1270,61.0,2.0,2.0,1.0,laranjeiras
910000,1539,70.0,1.0,1.0,1.0,barra da tijuca
485000,700,78.0,2.0,2.0,1.0,tijuca
888000,0,189.0,3.0,4.0,2.0,jacarepaguá
630000,850,80.0,2.0,2.0,1.0,grajaú
550000,1500,96.0,3.0,3.0,1.0,jacarepaguá
280000,732,70.0,2.0,2.0,1.0,riachuelo
355000,500,61.0,2.0,2.0,1.0,taquara
3200000,2200,156.0,3.0,4.0,2.0,barra da tijuca
2600000,2400,142.0,4.0,4.0,2.0,botafogo
548000,850,100.0,1.0,1.0,1.0,recreio dos bandeirantes
480000,663,63.0,1.0,2.0,2.0,vila isabel
450000,0,223.0,3.0,2.0,2.0,jardim sulacap
3977000,1800,155.0,3.0,3.0,1.0,copacabana
799000,1050,170.0,3.0,3.0,2.0,tijuca
390000,540,110.0,3.0,3.0,1.0,engenho novo
349000,0,180.0,3.0,4.0,2.0,guaratiba
6000000,1800,200.0,4.0,4.0,1.0,ipanema
660000,823,151.0,3.0,3.0,2.0,pechincha
8500000,2800,400.0,4.0,3.0,4.0,leblon
395000,1100,110.0,2.0,3.0,1.0,méier
310000,650,60.0,2.0,1.0,1.0,rio comprido
2700000,2200,250.0,4.0,5.0,3.0,barra da tijuca
160000,267,50.0,2.0,1.0,1.0,campo grande
2090000,980,130.0,3.0,3.0,1.0,copacabana
3150000,2000,230.0,4.0,4.0,2.0,copacabana
250000,0,80.0,2.0,1.0,2.0,rocha miranda
400000,0,102.0,3.0,2.0,3.0,campo grande
495000,800,80.0,2.0,2.0,1.0,grajaú
599000,3300,55.0,1.0,1.0,1.0,barra da tijuca
3850000,3950,280.0,4.0,6.0,4.0,barra da tijuca
5800000,5200,252.0,4.0,4.0,3.0,barra da tijuca
4500000,1530,142.0,4.0,3.0,1.0,gávea
2500000,650,600.0,4.0,2.0,2.0,recreio dos bandeirantes
790000,900,172.0,2.0,2.0,1.0,recreio dos bandeirantes
1590000,1560,120.0,3.0,3.0,1.0,gávea
200000,324,56.0,2.0,1.0,1.0,padre miguel
1300000,1273,85.0,2.0,2.0,1.0,humaitá
3280000,0,194.0,4.0,6.0,3.0,barra da tijuca
200000,500,100.0,2.0,2.0,2.0,praça seca
1580000,0,105.0,2.0,2.0,1.0,botafogo
380000,450,84.0,3.0,2.0,1.0,pechincha
550000,700,76.0,3.0,2.0,1.0,rio comprido
520000,0,360.0,3.0,3.0,4.0,tanque
2850000,2000,150.0,3.0,4.0,3.0,leblon
4500000,1500,153.0,4.0,2.0,2.0,leblon
213000,450,65.0,2.0,2.0,1.0,praça seca
990000,649,75.0,2.0,3.0,1.0,botafogo
690000,1450,91.0,2.0,2.0,2.0,barra da tijuca
895000,1210,116.0,3.0,2.0,1.0,barra da tijuca
1900000,1350,120.0,3.0,3.0,2.0,lagoa
230000,600,65.0,2.0,1.0,1.0,itanhangá
229000,300,54.0,2.0,1.0,1.0,vargem pequena
290000,0,85.0,2.0,2.0,4.0,paciência
530000,800,70.0,2.0,3.0,1.0,freguesia
270000,150,100.0,2.0,2.0,1.0,vicente de carvalho
730000,950,108.0,3.0,3.0,1.0,grajaú
650000,457,130.0,2.0,3.0,1.0,jardim guanabara
670000,1200,143.0,3.0,3.0,1.0,freguesia
2000000,2000,200.0,4.0,2.0,1.0,flamengo
930000,200,215.0,3.0,4.0,1.0,taquara
1785000,1400,105.0,3.0,4.0,1.0,lagoa
1190000,950,140.0,3.0,3.0,3.0,recreio dos bandeirantes
1640000,2119,109.0,3.0,2.0,2.0,jardim botânico
480000,340,180.0,3.0,3.0,2.0,recreio dos bandeirantes
1650000,1260,92.0,2.0,2.0,2.0,lagoa
890000,915,90.0,3.0,2.0,1.0,recreio dos bandeirantes
380000,520,92.0,3.0,3.0,1.0,pilares
320000,380,30.0,1.0,1.0,1.0,cachambi
1200000,1400,95.0,3.0,3.0,2.0,laranjeiras
4500000,1969,544.0,3.0,6.0,2.0,itanhangá
950000,600,300.0,4.0,5.0,4.0,vargem pequena
600000,0,72.0,2.0,2.0,2.0,barra da tijuca
950000,1055,103.0,2.0,3.0,1.0,são conrado
219900,300,45.0,1.0,1.0,1.0,vargem grande
275000,500,53.0,2.0,2.0,1.0,pechincha
2380000,2660,300.0,5.0,4.0,1.0,copacabana
385000,650,65.0,3.0,2.0,1.0,del castilho
1800000,1113,178.0,2.0,4.0,3.0,recreio dos bandeirantes
2000000,1900,169.0,3.0,4.0,2.0,barra da tijuca
1650000,1060,65.0,2.0,2.0,1.0,leblon
1200000,0,220.0,4.0,3.0,2.0,jardim guanabara
550000,0,84.0,3.0,3.0,1.0,barra da tijuca
450000,1900,55.0,1.0,1.0,1.0,copacabana
1295000,700,252.0,4.0,3.0,1.0,andaraí
379900,600,65.0,2.0,2.0,1.0,vila da penha
1000000,1060,125.0,3.0,3.0,3.0,recreio dos bandeirantes
4550000,2750,270.0,4.0,4.0,1.0,ipanema
180000,500,55.0,2.0,2.0,1.0,piedade
499999,450,95.0,3.0,2.0,1.0,tijuca
2850000,0,95.0,2.0,3.0,2.0,leblon
400000,1120,86.0,3.0,3.0,1.0,freguesia
1150000,1600,125.0,4.0,5.0,2.0,recreio dos bandeirantes
270000,0,80.0,2.0,2.0,2.0,guaratiba
1200000,1000,120.0,3.0,3.0,1.0,copacabana
880000,810,67.0,2.0,2.0,1.0,copacabana
385000,400,70.0,2.0,2.0,1.0,grajaú
2789999,3200,233.0,4.0,6.0,3.0,barra da tijuca
829000,1600,144.0,3.0,5.0,3.0,tijuca
400000,500,59.0,2.0,2.0,1.0,vila da penha
698000,1250,101.0,3.0,4.0,2.0,recreio dos bandeirantes
1590000,1500,112.0,3.0,2.0,2.0,botafogo
1095000,1626,100.0,3.0,3.0,1.0,botafogo
8000000,0,458.0,4.0,5.0,1.0,urca
