endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Avenida Cândido Portinari, 60 - Barra da Tijuca, Rio de Janeiro - RJ",R$,,"
                78-106
              ","2-3
","2
","1-3
"
"Rua Siqueira Campos - Copacabana, Rio de Janeiro - RJ",839.000,640,"
                74
              ","2
","3
","1
"
"Rua Barata Ribeiro, 147 - Copacabana, Rio de Janeiro - RJ",600.000,930,"
                60
              ","2
","1
","--
"
"Rua Martins Ribeiro - Flamengo, Rio de Janeiro - RJ",695.000,860,"
                90
              ","2
","1
","--
"
"Rua Voluntários da Pátria, 58 - Botafogo, Rio de Janeiro - RJ",495.000,1.033,"
                48
              ","1
","1
","--
"
"Rua Natividade, 807 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",270.000,300,"
                43
              ","2
","2
","1
"
"Rua Joaquim Rego - Olaria, Rio de Janeiro - RJ",300.000,554,"
                70
              ","2
","2
","1
"
"Avenida José Luiz Ferraz, 400 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",749.000,1.000,"
                105
              ","3
","2
","2
"
"Avenida Salvador Allende, s/n - Barra da Tijuca, Rio de Janeiro - RJ",315.000,,"
                47-59
              ","2-3
","2-3
","1-2
"
"Praça Vereador Rocha Leão - Copacabana, Rio de Janeiro - RJ",252.000,100,"
                52
              ","1
","1
","--
"
"Avenida Rachel de Queiroz, 90 - Barra da Tijuca, Rio de Janeiro - RJ",5.980.000,2.350,"
                545
              ","4
","8
","3
"
"Rua Capuri, 1 - São Conrado, Rio de Janeiro - RJ",4.900.000,2.900,"
                527
              ","4
","5
","5
"
"Avenida Meriti, 3020 - Cordovil, Rio de Janeiro - RJ",361.000,,"
                53
              ","2
","2
","1
"
"Rua Nascimento Silva, 151 - Ipanema, Rio de Janeiro - RJ",2.590.000,3.100,"
                190
              ","4
","3
","2
"
"Rua Pinhara, 80 - Rocha Miranda, Rio de Janeiro - RJ",155.000,,"
                70
              ","2
","1
","--
"
"Avenida das Américas, 9658 - Barra da Tijuca, Rio de Janeiro - RJ",R$,,"
                139-448
              ","4-5
","5-6
","3
"
"Avenida Embaixador Abelardo Bueno, 100 - Barra da Tijuca, Rio de Janeiro - RJ",699.900,1.909,"
                158
              ","2
","2
","2
"
"Avenida Vice-Presidente José Alencar, 1515 - Jacarepaguá, Rio de Janeiro - RJ",950.000,1.600,"
                110
              ","3
","4
","2
"
"Rua Zelio Valverde, 395 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",466.000,400,"
                60
              ","3
","2
","1
"
"Rua Assunção, 2 - Botafogo, Rio de Janeiro - RJ",2.500.000,2.300,"
                165
              ","3
","4
","1
"
"Rua Riachuelo - Centro, Rio de Janeiro - RJ",600.000,800,"
                60
              ","2
","1
","1
"
"Avenida Prefeito Dulcídio Cardoso, 1100 - Barra da Tijuca, Rio de Janeiro - RJ",700.000,1.200,"
                62
              ","2
","2
","1
"
"Avenida das Américas, 9658 - Barra da Tijuca, Rio de Janeiro - RJ",2.990.000,,"
                460-540
              ","5
","6
","3
"
"Avenida Flamboyants da Península, 1133 - Barra da Tijuca, Rio de Janeiro - RJ",1.500.000,250,"
                108
              ","3
","3
","2
"
"Rua Ministro Artur Ribeiro, 98 - Jardim Botânico, Rio de Janeiro - RJ",1.990.000,1.200,"
                110
              ","3
","2
","2
"
"Avenida Genaro de Carvalho, Lote 5 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.280.000,,"
                572
              ","--
","--
","--
"
"Rua Silvia Pozzano, 2760 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",690.000,953,"
                90
              ","3
","3
","2
"
"Rua Joaquim Nabuco - Ipanema, Rio de Janeiro - RJ","8.500
",3.200,"
                210
              ","3
","3
","2
"
"Rua Pinheiro Machado - Laranjeiras, Rio de Janeiro - RJ",99.999.999,10,"
                15
              ","1
","1
","--
"
"Avenida Nelson Mauro, s/n - Jardim Santa Rita, Duque de Caxias - RJ",Consulta,,"
                44
              ","2
","1
","1
"
"Rua Jornalista Henrique Cordeiro, 30 - Barra da Tijuca, Rio de Janeiro - RJ",1.679.000,1.840,"
                160
              ","3
","4
","2
"
"Rua Santa Luísa, 259 - Maracanã, Rio de Janeiro - RJ",900.000,1.400,"
                110
              ","3
","3
","2
"
"Rua Pedro Américo - Catete, Rio de Janeiro - RJ",498.000,700,"
                61
              ","1
","2
","1
"
"Rua Jardim Botânico - Jardim Botânico, Rio de Janeiro - RJ",2.500.000,1.800,"
                197
              ","3
","4
","2
"
"Rua Professor Gabizo - Tijuca, Rio de Janeiro - RJ",690.000,800,"
                251
              ","3
","3
","1
"
"Estrada Bougainville, 442 - Jacarepaguá, Rio de Janeiro - RJ",150.000,961,"
                90
              ","1
","2
","1
"
"Avenida das Américas, 10003 - Barra da Tijuca, Rio de Janeiro - RJ",2.500.000,,"
                197-547
              ","4-5
","5-6
","3-6
"
"Avenida Luiz Aranha, 820 - Barra da Tijuca, Rio de Janeiro - RJ",2.100.000,2.150,"
                165
              ","4
","4
","3
"
"Copacabana, Rio de Janeiro - RJ",1.560.000,2.300,"
                125
              ","3
","3
","1
"
"Rua Lópes Quintas - Jardim Botânico, Rio de Janeiro - RJ",1.025.000,1.265,"
                80
              ","3
","2
","1
"
"Avenida Tim Maia, 7435 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.690.000,3.000,"
                300
              ","4
","2
","2
"
"Avenida Salvador Allende, 1001 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",285.000,550,"
                51
              ","2
","1
","1
"
"Rua Manuel de Freitas - Irajá, Rio de Janeiro - RJ",195.000,150,"
                58
              ","3
","1
","2
"
"Rua Cambaúba, 520 - Jardim Guanabara, Rio de Janeiro - RJ",370.000,410,"
                60
              ","2
","2
","1
"
"Avenida Demétrio Ribeiro, s/n - Jardim Primavera, Duque de Caxias - RJ",Consulta,,"
                51
              ","2
","1
","--
"
"Rua Desembargador Izidro - Tijuca, Rio de Janeiro - RJ",450.000,250,"
                60
              ","2
","2
","--
"
"Rua Almirante Baltazar - São Cristóvão, Rio de Janeiro - RJ",390.000,828,"
                68
              ","2
","2
","1
"
"Rua Ana Teles - Campinho, Rio de Janeiro - RJ",180.000,,"
                80
              ","3
","2
","--
"
"Avenida Raymundo Magalhães Júnior, 300 - Barra da Tijuca, Rio de Janeiro - RJ",840.000,1.530,"
                100
              ","2
","3
","2
"
"Rua Carlos de Vasconcelos, 91 - Tijuca, Rio de Janeiro - RJ",1.950.000,3.213,"
                293
              ","4
","5
","3
"
"Urca, Rio de Janeiro - RJ",3.200.000,1.998,"
                212
              ","4
","2
","1
"
"Estrada dos Bandeirantes, 10333 - Jacarepaguá, Rio de Janeiro - RJ",240.000,,"
                43-75
              ","2-3
","2
","1
"
"Rua Torquato Tapajós, 54 - Guadalupe, Rio de Janeiro - RJ",370.000,,"
                378
              ","3
","1
","1
"
"Rua Marcos Paulo, 101 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.250.000,1.450,"
                180
              ","4
","2
","2
"
"Rua Senador Vergueiro, 138 - Flamengo, Rio de Janeiro - RJ",680.000,703,"
                80
              ","2
","2
","--
"
"Avenida Nossa Senhora de Copacabana, 1182 - Copacabana, Rio de Janeiro - RJ",1.599.000,1.280,"
                165
              ","3
","4
","1
"
"Engenho Novo, Rio de Janeiro - RJ",145.000,700,"
                90
              ","2
","2
","1
"
"Freguesia- Jacarepaguá, Rio de Janeiro - RJ",420.000,800,"
                70
              ","2
","2
","1
"
"Avenida Demétrio Ribeiro, 1100 - Chácaras Rio-Petrópolis, Duque de Caxias - RJ",197.000,,"
                47-53
              ","1-2
","1-2
","1-2
"
"Copacabana, Rio de Janeiro - RJ",1.450.000,1.139,"
                133
              ","3
","2
","1
"
"Rua Macedo Sobrinho, 77 - Humaitá, Rio de Janeiro - RJ",1.300.000,2.100,"
                110
              ","3
","2
","2
"
"Rua General Barbosa Lima - Copacabana, Rio de Janeiro - RJ",2.100.000,1.650,"
                150
              ","4
","4
","15
"
"Rua Lagoa das Garças - Barra da Tijuca, Rio de Janeiro - RJ",1.200.000,1.450,"
                102
              ","3
","4
","2
"
"Avenida Dom Hélder Câmara, 6001 - Pilares, Rio de Janeiro - RJ",340.000,600,"
                60
              ","2
","2
","1
"
"Rua Comendador Pinto, 516 - Campinho, Rio de Janeiro - RJ",199.000,585,"
                50
              ","2
","1
","1
"
"Rua Belo Horizonte, Lote 2, área A - Vilar Novo, Belford Roxo - RJ",133.000,,"
                48
              ","2
","1
","1
"
"Avenida Raymundo Magalhães Júnior, 300 - Barra da Tijuca, Rio de Janeiro - RJ",500.000,,"
                84
              ","2
","2
","1
"
"Avenida das Américas, 433 - Barra da Tijuca, Rio de Janeiro - RJ",415.000,800,"
                65
              ","2
","1
","1
"
"Rua Clotilde Guimarães, 528 - Botafogo, Rio de Janeiro - RJ",1.550.000,1.551,"
                122
              ","3
","2
","2
"
"Rua Escritor Rodrigo Melo Franco - Barra da Tijuca, Rio de Janeiro - RJ",886.500,1.500,"
                115
              ","3
","3
","2
"
"Rua Siqueira Campos, 20 - Copacabana, Rio de Janeiro - RJ",395.000,480,"
                32
              ","1
","1
","--
"
"Rua Barão de Mesquita - Tijuca, Rio de Janeiro - RJ",280.000,280,"
                65
              ","2
","1
","--
"
"Rua Belo Horizonte, Lote 2, área A - Vilar Novo, Belford Roxo - RJ",133.000,,"
                45
              ","2
","1
","1
"
"Rua Professor Sabóia Ribeiro - Leblon, Rio de Janeiro - RJ",1.950.000,1.950,"
                101
              ","3
","3
","1
"
"Rua Desembargador Paulo Alonso, 488 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",899.000,650,"
                182
              ","2
","3
","2
"
"Avenida Tim Maia - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",459.000,800,"
                90
              ","3
","1
","2
"
"Avenida Atlântica, 2220 - Copacabana, Rio de Janeiro - RJ",2.600.000,2.400,"
                220
              ","3
","4
","1
"
"Rua Jornalista Luiz Eduardo Lobo - Vargem Pequena, Rio de Janeiro - RJ",575.000,301,"
                360
              ","4
","4
","3
"
"Avenida Flamboyants da Península, 100 - Barra da Tijuca, Rio de Janeiro - RJ",1.190.000,2.350,"
                90
              ","3
","2
","1
"
"Rua Ituverava, 1441 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",995.000,305,"
                157
              ","3
","3
","2
"
"Avenida Salvador Allende, 6000 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",596.912,,"
                65-167
              ","2-3
","2
","1-2
"
"Avenida Lúcio Costa, 3650 - Barra da Tijuca, Rio de Janeiro - RJ",1.090.000,4.000,"
                115
              ","2
","2
","2
"
"Travessa Santa Margarida - Copacabana, Rio de Janeiro - RJ",380.000,440,"
                70
              ","2
","1
","--
"
"Rua Ferreira Cardoso, 41 - Maria da Graça, Rio de Janeiro - RJ",275.000,700,"
                67
              ","2
","1
","1
"
"Rua Maria Quitéria - Ipanema, Rio de Janeiro - RJ",2.999.000,2.400,"
                160
              ","4
","3
","1
"
"Avenida Jornalista Ricardo Marinho, 150 - Barra da Tijuca, Rio de Janeiro - RJ",1.390.000,3.000,"
                129
              ","4
","3
","2
"
"Rua Visconde de Silva - Humaitá, Rio de Janeiro - RJ",950.000,1.300,"
                90
              ","2
","2
","1
"
"Rodovia Ernani do Amaral Peixoto - Inoã, Maricá - RJ",Consulta,,"
                150-230
              ","4
","3
","4
"
"Rua Pereira da Silva - Laranjeiras, Rio de Janeiro - RJ",1.200.000,2.140,"
                114
              ","3
","3
","1
"
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",199.900,,"
                50
              ","1
","1
","1
"
"Rua Alfredo Ceschiatti, 100 - Barra da Tijuca, Rio de Janeiro - RJ",699.900,2.399,"
                159
              ","2
","3
","2
"
"Avenida Professor Pereira Reis, 42 - Santo Cristo, Rio de Janeiro - RJ",255.000,350,"
                65
              ","3
","2
","1
"
"Rua Desembargador Izidro - Tijuca, Rio de Janeiro - RJ",950.000,1.200,"
                120
              ","3
","3
","2
"
"Rua Luiz Beltrão, 27 -  Vila Valqueire, Rio de Janeiro - RJ",480.000,450,"
                93
              ","2
","3
","1
"
"Caminho do Encanamento, 175 - Campo Grande, Rio de Janeiro - RJ",168.690,,"
                41-45
              ","2
","1
","1
"
"Rua Clóvis Salgado, 611 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",680.000,680,"
                86
              ","3
","3
","1
"
"Rua Carvalho Alvim - Tijuca, Rio de Janeiro - RJ",1.650.000,1.800,"
                189
              ","3
","3
","4
"
"Rua Ronald de Carvalho - Copacabana, Rio de Janeiro - RJ",950.000,899,"
                78
              ","2
","2
","--
"
"Rua Aroazes, 145 - Barra da Tijuca, Rio de Janeiro - RJ",849.900,1.200,"
                140
              ","3
","2
","1
"
"Rua Frei Jacinto Infantino - Barra da Tijuca, Rio de Janeiro - RJ",5.200.000,1.080,"
                410
              ","4
","5
","4
"
"Rua Uruguai, 191 - Andaraí, Rio de Janeiro - RJ",350.000,599,"
                65
              ","2
","1
","--
"
"Rua Daniel Barreto dos Santos, 160 - Vargem Pequena, Rio de Janeiro - RJ",Consulta,,"
                180-220
              ","--
","--
","--
"
"Rua dos Carijós - Méier, Rio de Janeiro - RJ",890.000,1.215,"
                117
              ","3
","3
","2
"
"Rua Professor Valadares - Grajaú, Rio de Janeiro - RJ",230.000,617,"
                41
              ","1
","1
","1
"
"Avenida das Américas, 360 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",950.000,900,"
                125
              ","3
","3
","2
"
"Rua Evaristo da Veiga - Centro, Rio de Janeiro - RJ",155.000,430,"
                29
              ","1
","1
","--
"
"Penha Circular, Rio de Janeiro - RJ",275.000,530,"
                70
              ","2
","1
","1
"
"Lagoa, Rio de Janeiro - RJ",14.200.000,4.000,"
                593
              ","4
","6
","3
"
"Estrada Benvindo de Novaes, 910 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",R$,,"
                88-134
              ","2-3
","2-4
","2
"
"Avenida José Luiz Ferraz - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",550.000,1.200,"
                105
              ","4
","3
","2
"
"Rua das Oficinas, 188 - Engenho De Dentro, Rio de Janeiro - RJ",257.000,350,"
                43
              ","2
","2
","1
"
"Rua Farme de Amoedo, 209 - Ipanema, Rio de Janeiro - RJ",1.210.000,1.500,"
                80
              ","3
","3
","2
"
"Recreio Dos Bandeirantes, Rio de Janeiro - RJ",479.000,700,"
                70
              ","2
","3
","1
"
"Estrada Mucuiba - Vargem Grande, Rio de Janeiro - RJ",300.000,,"
                80
              ","2
","1
","1
"
"Campo Grande, Rio de Janeiro - RJ",650.000,,"
                260
              ","5
","4
","4
"
"Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ",840.000,1.300,"
                82
              ","2
","3
","2
"
"Estrada Amapá, 472 - Amapa, Duque de Caxias - RJ",R$,,"
                200-380
              ","--
","--
","--
"
"Avenida Vice-Presidente José Alencar, 450 - Barra da Tijuca, Rio de Janeiro - RJ",650.000,1.100,"
                69
              ","2
","1
","1
"
"Rua José Américo de Almeida - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.050.000,1.200,"
                117
              ","3
","3
","2
"
"Rua das Laranjeiras - Laranjeiras, Rio de Janeiro - RJ",310.000,500,"
                30
              ","1
","1
","--
"
"Rua Henrique Stamile Coutinho, 1 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",540.000,450,"
                117
              ","3
","2
","1
"
"Rua Aristides Espinola, 117 - Leblon, Rio de Janeiro - RJ",4.400.000,3.000,"
                194
              ","5
","6
","2
"
"Rua Prudente de Morais - Ipanema, Rio de Janeiro - RJ",2.150.000,1.600,"
                140
              ","3
","4
","1
"
"Rua Coronel João Valério, 241 - Flexeiras, Magé - RJ",185.000,,"
                28-154
              ","--
","1
","1
"
"Rua Araguaia, 1266 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",780.000,1.200,"
                112
              ","3
","3
","2
"
"Rua Rainha Guilhermina - Leblon, Rio de Janeiro - RJ",4.500.000,1.970,"
                156
              ","4
","4
","1
"
"Rua Marcílio Dias, 20 - Centro, Rio de Janeiro - RJ",65.000,380,"
                20
              ","1
","1
","--
"
"Rua Visconde de Silva, 90 - Humaitá, Rio de Janeiro - RJ",1.290.000,1.300,"
                105
              ","3
","2
","2
"
"Rua Arquiteto Simon Wiesenthal, 347 - Vargem Pequena, Rio de Janeiro - RJ",790.000,450,"
                240
              ","3
","6
","4
"
"Rua Redentor - Ipanema, Rio de Janeiro - RJ",3.099.999,1.800,"
                290
              ","4
","5
","2
"
"Rua Arquiteto Simon Wiesenthal, 351 - Vargem Pequena, Rio de Janeiro - RJ",369.000,,"
                54-264
              ","2-3
","2-3
","1
"
"Rua Ivo Borges - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",680.000,960,"
                111
              ","2
","2
","1
"
"Rua General Roca - Tijuca, Rio de Janeiro - RJ",699.000,1.550,"
                150
              ","3
","3
","1
"
"Rua Figueiredo Magalhães - Copacabana, Rio de Janeiro - RJ",2.500.000,2.850,"
                276
              ","4
","4
","2
"
"Avenida Salvador Allende, 3201 - Barra da Tijuca, Rio de Janeiro - RJ",270.000,20,"
                53
              ","2
","2
","1
"
"Vargem Grande, Rio de Janeiro - RJ",720.000,927,"
                245
              ","4
","4
","4
"
"Avenida Lúcio Costa, 3300 - Barra da Tijuca, Rio de Janeiro - RJ",1.890.000,2.000,"
                127
              ","3
","2
","2
"
"Rua Salvador de Mesquita, 103 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",R$,,"
                86-360
              ","3-4
","5
","2-3
"
"Avenida Gastão Senges, 327 - Barra da Tijuca, Rio de Janeiro - RJ",1.780.000,2.260,"
                140
              ","4
","3
","2
"
"Avenida Lineu de Paula Machado - Lagoa, Rio de Janeiro - RJ",4.200.000,2.498,"
                201
              ","4
","4
","2
"
"Avenida Borges de Medeiros, 2373 - Lagoa, Rio de Janeiro - RJ",3.297.000,2.000,"
                200
              ","4
","3
","2
"
"Rua Engenheiro Julião Castelo - Méier, Rio de Janeiro - RJ",910.000,,"
                370
              ","3
","3
","1
"
"Rua Araguaia, 1266 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",590.000,833,"
                89
              ","2
","3
","1
"
"Rua Senador Muniz Freire, 16 - Vila Isabel, Rio de Janeiro - RJ","1.800
",1.000,"
                88
              ","2
","2
","1
"
"Rua Salvador de Mesquita, 103 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",R$,,"
                340-360
              ","3-4
","5
","3
"
"Avenida Nossa Senhora de Copacabana, 828 - Copacabana, Rio de Janeiro - RJ",790.000,654,"
                53
              ","2
","2
","--
"
"Avenida Vice-Presidente José Alencar, 1515 - Jacarepaguá, Rio de Janeiro - RJ",920.000,1.600,"
                169
              ","3
","3
","2
"
"Rua Leopoldo Miguez - Copacabana, Rio de Janeiro - RJ",1.750.000,1.500,"
                186
              ","3
","3
","1
"
"Rua General Urquiza - Leblon, Rio de Janeiro - RJ",630.000,600,"
                37
              ","1
","1
","--
"
"Avenida Vice-Presidente José Alencar, 1500 - Barra da Tijuca, Rio de Janeiro - RJ",1.200.000,2.200,"
                150
              ","4
","3
","2
"
"Avenida Chrisóstomo Pimentel de Oliveira, 2303 - Pavuna, Rio de Janeiro - RJ",90.000,300,"
                50
              ","2
","1
","1
"
"Laranjeiras, Rio de Janeiro - RJ",1.500.000,1.342,"
                128
              ","3
","4
","2
"
"Rua Damas Batista, S/N - Rancho Novo, Nova Iguaçu - RJ",194.000,,"
                48
              ","2
","1
","1
"
"Jardim Oceanico, Rio de Janeiro - RJ",1.580.000,1.800,"
                138
              ","3
","4
","2
"
"Rua Siqueira Campos - Copacabana, Rio de Janeiro - RJ",700.000,986,"
                62
              ","2
","2
","1
"
"Rua Jornalista Luiz Eduardo Lobo - Vargem Pequena, Rio de Janeiro - RJ",330.000,,"
                264
              ","3
","3
","3
"
"Rua Gustavo Sampaio - Leme, Rio de Janeiro - RJ",620.000,750,"
                80
              ","2
","3
","--
"
"Avenida Di Cavalcanti, 111 - Barra da Tijuca, Rio de Janeiro - RJ",699.000,700,"
                71
              ","2
","2
","1
"
"Avenida Atlântica - Copacabana, Rio de Janeiro - RJ",250.000,360,"
                27
              ","1
","1
","--
"
"Estrada Benvindo de Novaes, 2575 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",625.000,,"
                74-174
              ","2-4
","2-3
","1-2
"
"Botafogo, Rio de Janeiro - RJ",780.000,860,"
                60
              ","2
","2
","1
"
"Jardim Oceanico, Rio de Janeiro - RJ",1.890.000,1.898,"
                189
              ","3
","4
","2
"
"Rua Honório, 385 - Cachambi, Rio de Janeiro - RJ",450.000,490,"
                96
              ","3
","2
","1
"
"Rua Marquês de Muritiba - Cocotá, Rio de Janeiro - RJ",315.000,,"
                100
              ","3
","3
","--
"
"Rua Riachuelo - Centro, Rio de Janeiro - RJ",800.000,1.240,"
                75
              ","2
","1
","1
"
"Avenida Miguel Antônio Fernandes, 1375 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.199.000,1.289,"
                185
              ","5
","5
","2
"
"Rua Hugo Panasco Alvim, 352 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",R$,,"
                83
              ","3
","3
","2
"
"Rua Visconde de Pirajá, 287 - Ipanema, Rio de Janeiro - RJ",1.975.000,2.000,"
                111
              ","3
","2
","1
"
"Avenida Tim Maia, 7285 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",880.000,1.118,"
                119
              ","4
","5
","2
"
"Rua Pereira Nunes, 339 - Vila Isabel, Rio de Janeiro - RJ",499.000,550,"
                80
              ","2
","2
","1
"
"Rua Coronel João Olintho, 0 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",690.000,800,"
                110
              ","3
","4
","2
"
"Rua Barão da Torre - Ipanema, Rio de Janeiro - RJ",1.200.000,1.727,"
                90
              ","3
","3
","1
"
"Rua Moura Brasil - Laranjeiras, Rio de Janeiro - RJ",750.000,656,"
                90
              ","2
","3
","1
"
"Rua Alfredo Lopes de Souza, 25 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",648.712,,"
                80-82
              ","3
","2
","1-2
"
"Rua Barão de Jaguaripe - Ipanema, Rio de Janeiro - RJ",5.590.000,3.900,"
                200
              ","4
","4
","2
"
"Rua Pedro de Carvalho, 231 - Méier, Rio de Janeiro - RJ",275.000,680,"
                55
              ","2
","1
","1
"
"Avenida Lúcio Costa, 3360 - Barra da Tijuca, Rio de Janeiro - RJ",2.400.000,2.029,"
                140
              ","3
","2
","2
"
"Rua Francisco Otaviano, 59 - Copacabana, Rio de Janeiro - RJ",2.165.000,1.800,"
                71
              ","2
","3
","1
"
"Rua Visconde de Pirajá - Ipanema, Rio de Janeiro - RJ",950.000,1.079,"
                66
              ","2
","2
","--
"
"Rua Deputado Átila Nunes, 160 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ","15.000
",1.055,"
                305
              ","3
","5
","2
"
"Rua Alfredo Lopes de Souza, 25 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",R$,,"
                138-167
              ","2-3
","3
","2
"
"Rua Pinto Guedes - Tijuca, Rio de Janeiro - RJ",530.000,800,"
                76
              ","2
","1
","1
"
"Avenida Prefeito Dulcídio Cardoso, 11100 - Barra da Tijuca, Rio de Janeiro - RJ",1.490.000,1.950,"
                123
              ","3
","4
","2
"
"Rua Augusto Boal, 111 - Barra da Tijuca, Rio de Janeiro - RJ",7.900.000,1.700,"
                1200
              ","4
","8
","4
"
"Rua Ronald de Carvalho, 270 - Copacabana, Rio de Janeiro - RJ",629.000,730,"
                75
              ","2
","2
","--
"
"Rua Timóteo da Costa - Leblon, Rio de Janeiro - RJ",3.990.000,2.628,"
                250
              ","3
","5
","3
"
"Avenida Ministro Afrânio Costa, 395 - Barra da Tijuca, Rio de Janeiro - RJ",2.200.000,1.800,"
                400
              ","4
","2
","4
"
"Rua Senador Vergueiro - Flamengo, Rio de Janeiro - RJ",530.000,740,"
                60
              ","2
","2
","--
"
"Rua Escritor Elie Wiesel, 85 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",528.900,,"
                78-154
              ","2-3
","2-3
","1-2
"
"Estrada dos Bandeirantes, 53 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.590.000,2.700,"
                270
              ","4
","5
","2
"
"Rua Itacuruçá, 77 - Tijuca, Rio de Janeiro - RJ",725.000,920,"
                70
              ","3
","3
","1
"
"Rua do Humaitá, 71 - Humaitá, Rio de Janeiro - RJ",840.000,890,"
                70
              ","2
","1
","--
"
"Avenida Afrânio de Melo Franco, 85 - Leblon, Rio de Janeiro - RJ","6.500
",1.642,"
                152
              ","4
","2
","2
"
"Avenida Alfredo Balthazar da Silveira, 580 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",80.000,,"
                19
              ","--
","--
","--
"
"Rua Ana Maria Niemeyer, 400 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",2.600.000,800,"
                300
              ","4
","6
","3
"
"Rua Presidente Nereu Ramos, 751 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.299.000,,"
                327
              ","3-4
","5
","4
"
"Avenida das Américas, 13033 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",2.600.000,800,"
                590
              ","5
","7
","3
"
"Rua Flaminia - Vila da Penha, Rio de Janeiro - RJ",280.000,200,"
                66
              ","2
","1
","--
"
"Avenida das Acácias da Península, 280 - Barra da Tijuca, Rio de Janeiro - RJ",2.198.000,2.300,"
                180
              ","4
","2
","3
"
"Cachambi, Rio de Janeiro - RJ",250.000,391,"
                71
              ","3
","3
","--
"
"Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",1.300.000,939,"
                76
              ","2
","2
","1
"
"Rua César Lattes, 700 - Barra da Tijuca, Rio de Janeiro - RJ",690.000,1.100,"
                71
              ","2
","2
","1
"
"Avenida Lúcio Costa, 17290 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",R$,,"
                138-322
              ","3
","3-4
","2-4
"
"Praça Santos Dumont - Gávea, Rio de Janeiro - RJ",1.100.000,500,"
                75
              ","2
","1
","1
"
"Rua Rodolfo de Campos, 0 - Barra da Tijuca, Rio de Janeiro - RJ",11.500.000,2.040,"
                600
              ","4
","6
","3
"
"Rua Alfredo Ceschiatti, 55 - Jacarepaguá, Rio de Janeiro - RJ",900.000,1.600,"
                121
              ","3
","3
","2
"
"Estrada da Gávea, 30 - Gávea, Rio de Janeiro - RJ",2.700.000,4.176,"
                231
              ","4
","2
","4
"
"Rua Tonelero - Copacabana, Rio de Janeiro - RJ",1.180.000,850,"
                115
              ","3
","2
","1
"
"Rua Jacarandás da Península, 300 - Barra da Tijuca, Rio de Janeiro - RJ",525.000,1.400,"
                112
              ","3
","4
","1
"
"Avenida Lúcio Costa, 17290 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",Consulta,,"
                138
              ","3
","4-5
","3-4
"
"Rua Buarque de Macedo - Flamengo, Rio de Janeiro - RJ",465.000,400,"
                42
              ","1
","2
","--
"
"Avenida Hebe Camargo - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",1.650.000,600,"
                220
              ","4
","5
","2
"
"Rua Piauí - Todos os Santos, Rio de Janeiro - RJ",249.000,510,"
                58
              ","2
","2
","1
"
"Flamengo, Rio de Janeiro - RJ",7.970.000,3.570,"
                390
              ","6
","5
","4
"
"Rua Cruz Lima, 26 - Flamengo, Rio de Janeiro - RJ",750.000,2.157,"
                80
              ","2
","2
","2
"
"Rua Lópes Quintas, 120 - Jardim Botânico, Rio de Janeiro - RJ",1.260.000,1.150,"
                73
              ","2
","1
","1
"
