endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Rua Uruguai, 288 - Tijuca, Rio de Janeiro - RJ",380.000,380,"
                40
              ","1
","1
","1
"
"Rua Silvia Pozzano, 3003 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",478.000,1.143,"
                78
              ","2
","2
","2
"
"Rua Xavier da Silveira, 34 - Copacabana, Rio de Janeiro - RJ",685.000,1.580,"
                74
              ","3
","2
","--
"
"Avenida Flamboyants da Península, 155 - Barra da Tijuca, Rio de Janeiro - RJ",3.650.000,3.600,"
                278
              ","4
","6
","3
"
"Rua Dona Mariana - Botafogo, Rio de Janeiro - RJ",1.750.000,1.300,"
                105
              ","3
","3
","2
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",1.030.000,,"
                58
              ","1
","1
","1
"
"Avenida Prefeito Dulcídio Cardoso, 424 - Barra da Tijuca, Rio de Janeiro - RJ",1.900.000,1.989,"
                192
              ","2
","2
","4
"
"Rua das Laranjeiras, 197 - Laranjeiras, Rio de Janeiro - RJ",625.000,714,"
                78
              ","2
","3
","--
"
"Avenida Rodolfo Amoedo, 216 - Barra da Tijuca, Rio de Janeiro - RJ",3.200.000,1.700,"
                436
              ","4
","3
","2
"
"Rua Paula Brito, 350 - Andaraí, Rio de Janeiro - RJ",340.000,1.000,"
                66
              ","2
","2
","1
"
"Estrada da Barra da Tijuca, 1006 - Barra da Tijuca, Rio de Janeiro - RJ",2.450.000,1.900,"
                265
              ","4
","4
","3
"
"Avenida Olof Palme, 605 - Camorim, Rio de Janeiro - RJ",530.000,900,"
                84
              ","3
","3
","2
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",790.000,,"
                52
              ","1
","1
","1
"
"Rua Visconde de Santa Isabel, 136 - Vila Isabel, Rio de Janeiro - RJ",275.000,555,"
                62
              ","1
","2
","1
"
"Estrada dos Bandeirantes, 6265 - Jacarepaguá, Rio de Janeiro - RJ",255.000,752,"
                34
              ","1
","1
","1
"
"Rua Agostinho dos Santos, 291 - Jardim Guanabara, Rio de Janeiro - RJ",890.000,650,"
                154
              ","3
","2
","2
"
"Rua Antônio Storino, 322 - Vila da Penha, Rio de Janeiro - RJ",620.000,600,"
                100
              ","3
","3
","2
"
"Ladeira dos Tabajaras, 196 - Copacabana, Rio de Janeiro - RJ",700.000,730,"
                133
              ","2
","3
","1
"
"Rua Antônio Basílio, 269 - Tijuca, Rio de Janeiro - RJ",1.499.000,600,"
                150
              ","3
","4
","1
"
"Rua Joaquim Nabuco, quadra praia ipanema - Ipanema, Rio de Janeiro - RJ",1.850.000,1.600,"
                105
              ","3
","3
","1
"
"Rua do Russel, 426 - Glória, Rio de Janeiro - RJ",1.680.000,,"
                105
              ","2
","2
","1
"
